source_category,main_category,subcategory,business_name,normalized_name,location,normalized_location,phone,phone_clean,listing_url,image_url,duplicate_flag,notes
Entertainment,Entertainment & Leisure,Cinema & Theatre,Alem Cinema,Alem Cinema,"Bole, Addis Ababa, Ethiopia","Bole, Addis Ababa, Ethiopia",251986959595.0,2519869595950,https://amaklo.com/listing/alem-cinema,https://amaklo.com/assets/upload/listing_thumbnail/XqqHN5pW5mveE1sWWDcf9teQDKiuvX.jpg,False,
Entertainment,Entertainment & Leisure,General Entertainment,GAST Entertainment,GAST Entertainment,"CMC, Addis Ababa, Ethiopia","CMC, Addis Ababa, Ethiopia",251930113377.0,2519301133770,https://amaklo.com/listing/gast-entertainment,https://amaklo.com/assets/upload/listing_thumbnail/pPRtLRda7dt5pkLfhUtCiHLWK0TvHl.jpg,False,
Entertainment,Entertainment & Leisure,Cinema & Theatre,Century Cinema,Century Cinema,"Gurd Shola, Addis Ababa, Ethiopia","Gurd Shola, Addis Ababa, Ethiopia",251987202020.0,2519872020200,https://amaklo.com/listing/century-cinema,https://amaklo.com/assets/upload/listing_thumbnail/NqOVB9qLwk9o0LTZs8HDof0AnDbmZT.jpg,False,
Entertainment,Entertainment & Leisure,Dance & Recreation,Monarch Park,Monarch Park,"Piassa, Addis Ababa, Ethiopia","Piassa, Addis Ababa, Ethiopia",251948332401.0,2519483324010,https://amaklo.com/listing/monarch-park,https://amaklo.com/assets/upload/listing_thumbnail/JeRlnkYdcWBSSbQJULGuoTYPV61ot0.jpg,False,
Entertainment,Beauty & Personal Care,Salon & Spa,Utopia Hair and Nail Bar,Utopia Hair and Nail Bar,"Figa, Addis Ababa, Ethiopia","Figa, Addis Ababa, Ethiopia",251946150044.0,2519461500440,https://amaklo.com/listing/utopia-hair-and-nail-bar,https://amaklo.com/assets/upload/listing_thumbnail/KBMabIfIF9eTcSaBQBrTt6GtrRfxDC.jpg,False,
Entertainment,Beauty & Personal Care,Salon & Spa,Oasis Salon and Spa,Oasis Salon and Spa,"Atlas, Addis Ababa, Ethiopia","Atlas, Addis Ababa, Ethiopia",251923785643.0,2519237856430,https://amaklo.com/listing/oasis-salon-and-spa,https://amaklo.com/assets/upload/listing_thumbnail/pnxBLrw011Z5xx9ShoECbXD93Sx5gv.jpg,False,
Entertainment,Beauty & Personal Care,Salon & Spa,Divine Hair & Nail Salon,Divine Hair & Nail Salon,"Bole, Addis Ababa, Ethiopia","Bole, Addis Ababa, Ethiopia",251930362405.0,2519303624050,https://amaklo.com/listing/divine-hair-nail-salon,https://amaklo.com/assets/upload/listing_thumbnail/1YZwERiQ56h7AV6438xzczTrp53Lnm.jpg,False,
Entertainment,Beauty & Personal Care,Salon & Spa,Marda Beauty and Spa,Marda Beauty and Spa,"Bole, Addis Ababa, Ethiopia","Bole, Addis Ababa, Ethiopia",251911942414.0,2519119424140,https://amaklo.com/listing/marda-beauty-and-spa,https://amaklo.com/assets/upload/listing_thumbnail/97LCAIwhhb06BiezO7TV9gkqysUCD5.jpg,False,
Entertainment,Entertainment & Leisure,Cinema & Theatre,Eliana Cinema,Eliana Cinema,"Piassa, Addis Ababa, Ethiopia","Piassa, Addis Ababa, Ethiopia",251926080808.0,2519260808080,https://amaklo.com/listing/eliana-cinema,https://amaklo.com/assets/upload/listing_thumbnail/VplPPqvHmG3aNIrqqQLIMOPhhlQmKG.jpg,False,
Entertainment,Entertainment & Leisure,Cinema & Theatre,Wafa Cinema,Wafa Cinema,"Piassa, Addis Ababa, Ethiopia","Piassa, Addis Ababa, Ethiopia",251115525031.0,2511155250310,https://amaklo.com/listing/wafa-cinema,https://amaklo.com/assets/upload/listing_thumbnail/6RcoSLGzshOaitf2ELz0JTE9NWZNYK.jpg,False,
Entertainment,Education,School & Academy,British International School (BIS),British International School (BIS),"Bole, Addis Ababa, Ethiopia","Bole, Addis Ababa, Ethiopia",251930078070.0,2519300780700,https://amaklo.com/listing/british-international-school-bis,https://amaklo.com/assets/upload/listing_thumbnail/4JCo06jc931jCDWb68VcNKtnqv6Ikr.jpg,False,
Entertainment,Entertainment & Leisure,Cinema & Theatre,Hager Fikir Theatre,Hager Fikir Theatre,"Piassa, Addis Ababa, Ethiopia","Piassa, Addis Ababa, Ethiopia",251916611138.0,2519166111380,https://amaklo.com/listing/hager-fikir-theatre,https://amaklo.com/assets/upload/listing_thumbnail/C5FarGJmg0AyWcBHjRLey8Yzpupafm.jpg,False,
Entertainment,Education,Library,Sihen Library,Sihen Library,"Saris, Addis Ababa, Ethiopia","Saris, Addis Ababa, Ethiopia",251114404074.0,2511144040740,https://amaklo.com/listing/sihen-library,https://amaklo.com/assets/upload/listing_thumbnail/stYRAG1yMJjIMdxfs1xy1Qr7eSloU8.webp,False,
Entertainment,Entertainment & Leisure,Dance & Recreation,Kass Sport,Kass Sport,"Bole, Addis Ababa, Ethiopia","Bole, Addis Ababa, Ethiopia",251115526825.0,2511155268250,https://amaklo.com/listing/kass-sport,https://amaklo.com/assets/upload/listing_thumbnail/4OYrYjlECyV3rE6GyQAjPlagu8nlMt.jpg,False,
Entertainment,Entertainment & Leisure,Museum & Culture,Ethnological Museum,Ethnological Museum,"6Killo, Addis Ababa, Ethiopia","6 Killo, Addis Ababa, Ethiopia",251111231068.0,2511112310680,https://amaklo.com/listing/ethnological-museum,https://amaklo.com/assets/upload/listing_thumbnail/mxTmDuUAwPvbZkRD7QgKQP079nThbN.jpg,False,
Entertainment,Beauty & Personal Care,Salon & Spa,Glow Ethio-Turkiye Hair Transplant & Skin Care Center,Glow Ethio-Turkiye Hair Transplant & Skin Care Center,"Bole, Addis Ababa, Ethiopia","Bole, Addis Ababa, Ethiopia",251966969696.0,2519669696960,https://amaklo.com/listing/glow-ethio-turkiye-hair-transplant-skin-care-center,https://amaklo.com/assets/upload/listing_thumbnail/R3dw5deXlL2HfswQ0G4TVERjwhO6UD.jpg,False,
Entertainment,Beauty & Personal Care,Salon & Spa,Glow Aesthetics Addis,Glow Aesthetics Addis,"Bole, Addis Ababa, Ethiopia","Bole, Addis Ababa, Ethiopia",251902894444.0,2519028944440,https://amaklo.com/listing/glow-aesthetics-addis,https://amaklo.com/assets/upload/listing_thumbnail/STakZL7t99bcNJuKVXgb6i2C6oRMg0.jpg,False,
Gift Shop,Retail & Shopping,Gift & Flowers,Happy Gift and Flowers,Happy Gift and Flowers,"Gerji, Addis Ababa, Ethiopia","Gerji, Addis Ababa, Ethiopia",251923767972.0,2519237679720,https://amaklo.com/listing/happy-gift-and-flowers,https://amaklo.com/assets/upload/listing_thumbnail/J6YgqIupUG4r4zuo4eHM2XtDItgjMD.jpg,False,
Gift Shop,Retail & Shopping,Gift & Flowers,Anne Silver Ethiopia,Anne Silver Ethiopia,"22, Addis Ababa, Ethiopia","22, Addis Ababa, Ethiopia",251911374743.0,2519113747430,https://amaklo.com/listing/anne-silver-ethiopia,https://amaklo.com/assets/upload/listing_thumbnail/OrZkU51g3gF6lz3BdwbSki2zWPrSNf.jpg,False,
Gift Shop,Retail & Shopping,Gift & Flowers,Nayo Gift and Decoration Shop,Nayo Gift and Decoration Shop,"22, Addis Ababa, Ethiopia","22, Addis Ababa, Ethiopia",251911529669.0,2519115296690,https://amaklo.com/listing/nayo-gift-and-decoration-shop,https://amaklo.com/assets/upload/listing_thumbnail/hq5N9T3s0ELEFArAzQi36ePxQ0fksn.jpg,False,
Gift Shop,Retail & Shopping,Gift & Flowers,Party City flower and gift shop,Party City flower and gift shop,"Bole, Addis Ababa, Ethiopia","Bole, Addis Ababa, Ethiopia",251912953304.0,2519129533040,https://amaklo.com/listing/party-city-flower-and-gift-shop,https://amaklo.com/assets/upload/listing_thumbnail/LJs1wxnhV1RebJAkTKBulGES5pyAJ7.jpg,False,
