name,category,neighborhood,full_address,rating,review_count,phone,website,links_on_site,google_maps_url,scraped_at
Crema Pastry,Pastry shop,Addis Ababa 1000,"Summit Fiyel Bet, Behind Deborah School, Addis Ababa 1000, Ethiopia",4.9,560.0,+251 91 082 6392,,,,2026-05-10T06:37:48.982391+00:00
KOBA Patisserie & Bakery | Atlas Branch,Pastry shop,Addis Ababa,"In front of EU Delegation Office, Cape Verde Street Noah Diplomat Apartment, Around Atlas Hotel, Addis Ababa, Ethiopia",4.5,524.0,+251 90 098 9898,https://kobapatisserie.com/,https://cookiedatabase.org/tcf/purposes/ | https://goo.gl/maps/CkNs9BZYkGsKZHqx7 | https://goo.gl/maps/YXzMQXcWPwgt1wsS8 | https://goo.gl/maps/s5pMUmbZtQzDMfye9 | https://kobapatisserie.com | https://kobapatisserie.com/ | https://kobapatisserie.com/menu/ | https://kobapatisserie.com/menu/#order,,2026-05-10T06:37:48.982391+00:00
Hananeel pastry Bole Branch,"Pastry shop, Cocktail bar, Coffee shop",Addis Ababa 1000,"XQVP+944, Addis Ababa 1000, Ethiopia",4.4,29.0,+251 99 130 0000,http://www.hananeelpastry.com/,,,2026-05-10T06:37:48.982391+00:00
Bilu cake gallery,Cake shop,Addis Ababa,"On the way from Golagol building to Megenagna near Elsa Kolo, Addis Ababa, Ethiopia",4.7,32.0,+251 91 134 2054,,,,2026-05-10T06:37:48.982391+00:00
Tabor bakery,Bakery,Bole 14/15,"Bole 14/15, Ethiopia",4.0,78.0,,,,,2026-05-10T06:37:48.982391+00:00
Berhomi Bakery and Pastry,Bakery,Addis Ababa,"XQRV+737, Cameroon St, Addis Ababa, Ethiopia",4.2,161.0,,,,,2026-05-10T06:37:48.982391+00:00
Opera pastry shop,"Bakery, Coffee shop, Wedding bakery",Addis Ababa,"Addis Ababa, Ethiopia",4.8,11.0,+251 91 375 4876,,,,2026-05-10T06:37:48.982391+00:00
Kebe Cake | Bole Medhanialem | ከቤ ኬክ | ቦሌ መድሀኒያለም,Cake shop,Addis Ababa,"XQWR+7W4, Addis Ababa, Ethiopia",4.1,72.0,+251 91 143 4445,,,,2026-05-10T06:37:48.982391+00:00
Adi'z Pastry,Bakery,Addis Ababa,"2Q2J+5Q8, Addis Ababa, Ethiopia",4.6,41.0,+251 11 667 1279,,,,2026-05-10T06:37:48.982391+00:00
Manna Boulangerie,Bakery,Addis Ababa,"Cape Verde St, Addis Ababa, Ethiopia",4.6,64.0,+251 91 150 9193,,,,2026-05-10T06:37:48.982391+00:00
