name,category,neighborhood,full_address,rating,review_count,phone,website,links_on_site,google_maps_url,scraped_at
Dukamo Coffee Bole | ዱካሞ ቡና,Coffee shop,Addis Ababa,"Mafi City Center Mall, Cameroon St, Addis Ababa, Ethiopia",4.5,270.0,+251 93 344 3322,https://www.dukamocoffee.com/,,,2026-05-10T06:28:07.618223+00:00
Akoo Coffee | Bole | አኮ ቡና | ቦሌ,Coffee shop,Addis Ababa,"XQVP+W8W, Addis Ababa, Ethiopia",4.1,125.0,+251 94 232 3232,,,,2026-05-10T06:28:07.618223+00:00
Etete Coffee - Atlas Shala /Premium Outlet/ (እቴቴ ቡና),Coffee shop,Addis Ababa,"2Q3M+W3J, Addis Ababa, Ethiopia",4.5,239.0,+251 94 333 3435,http://www.etetebusinessgroup.com/,,,2026-05-10T06:28:07.618223+00:00
Moyee Coffee Bole | Bole Medhanialem,Coffee shop,Addis Ababa,"Evergrand Real Estate Bldg, Around Tele Medhaniealem, Addis Ababa, Ethiopia",4.3,153.0,,https://www.moyeeethiopia.com/,,,2026-05-10T06:28:07.618223+00:00
Wild Coffee 2nd(adey abeba stadium),Coffee shop,Addis Ababa,"XQXQ+VPH, Addis Ababa, Ethiopia",4.8,87.0,+251 98 780 8182,http://www.ethiopianwildcoffee.net/,https://ethiopianwildcoffee.net/ | https://ethiopianwildcoffee.net/about/ | https://ethiopianwildcoffee.net/buy/ | https://ethiopianwildcoffee.net/cafe/ | https://ethiopianwildcoffee.net/contact/ | https://ethiopianwildcoffee.net/elementor-511/ | https://ethiopianwildcoffee.net/privacy-policy/ | https://ethiopianwildcoffee.net/wild-coffee-tasting-house/ | https://goo.gl/maps/GGXmFdhMtroW4Bvx8 | https://mywildcoffee.com/ | https://wildcoffee.co.za/ | https://wildcoffeecanada.ca/ | https://wildcoffeekenya.co.ke/ | https://www.facebook.com/wild.coffee.et/ | https://www.foodbusinessafrica.com/wild-coffee-ethiopia-bags-african-rising-star-company-of-the-year-award-in-nairobi/ | https://www.instagram.com/ethiopiawildcoffee/ | https://www.walmart.com/ip/ETHIOPIAN-WILD-COFFEE-MEDIUM-ROAST-1-1lb-500mg-17-5oz/114595526,,2026-05-10T06:28:07.618223+00:00
London Cafe | Bole Medhanialem | ለንደን ካፌ | ቦሌ መድሃኒዓለም,Coffee shop,Addis Ababa,"Cameroon St, Addis Ababa, Ethiopia",3.5,153.0,+251 98 048 3020,,,,2026-05-10T06:28:07.618223+00:00
Abat coffee(አባት ቡና),Coffee shop,Addis Ababa,"Bole 3, 5, Addis Ababa, Ethiopia",4.6,109.0,+251 95 375 5555,http://www.abatcoffee.com/,,,2026-05-10T06:28:07.618223+00:00
La Vie En Rose Addis | Bole Rawanda Branch,"Cafe, Coffee shop, Restaurant",Addis Ababa,"Rwanda St, Addis Ababa, Ethiopia",4.2,257.0,+251 98 505 9000,,,,2026-05-10T06:28:07.618223+00:00
Baron Cafe| ባሮን ካፌ,"Cafe, Coffee shop, Juice shop, Pastry shop",Addis Ababa,"Baron, Addis Ababa, Ethiopia",4.9,41.0,+251 98 830 8282,,,,2026-05-10T06:28:07.618223+00:00
Joe's Cafe,Cafe,Addis Ababa,"XQRQ+H69, Addis Ababa, Ethiopia",4.5,51.0,,,,,2026-05-10T06:28:07.618223+00:00
