name,category,neighborhood,full_address,rating,review_count,phone,website,links_on_site,google_maps_url,scraped_at
Golden Plate Restaurant | Bole | ጎልደን ፕሌት ሬስቶራንት | ቦሌ,"Restaurant, Western restaurant",Addis Ababa,"Abssinia Building, Cameroon St, Addis Ababa, Ethiopia",4.7,752.0,+251 97 574 5252,https://www.goldenplaterestaurant.net/,https://goldenplaterestaurant.net/ | https://goldenplaterestaurant.net/about/ | https://goldenplaterestaurant.net/contact/ | https://goldenplaterestaurant.net/menu-2/ | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC00154-2-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC06873-2-1024x684.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC06952-2-1024x684.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC07147-1024x684.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC07171-2-1024x684.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC07471-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC07509-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC08564-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC08629-1-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC08654-1024x683.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09628-2-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09643-2-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09666-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09668-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09692-2-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09756-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09757-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09790-1024x576.jpg | https://goldenplaterestaurant.net/wp-content/uploads/2025/07/DSC09792-2-1024x576.jpg,,2026-05-10T06:08:51.639036+00:00
Emerald restaurant,Restaurant,Addis Ababa,"Reality plaza, bole brass, Addis Ababa, Ethiopia",5.0,26.0,+251 96 220 3030,,,,2026-05-10T06:08:51.639036+00:00
Cravings Restaurant & Bar,"Restaurant, Bar",Addis Ababa,"XQMW+7VC, Addis Ababa, Ethiopia",4.6,2683.0,+251 90 100 6858,https://cravingaddis.com/,https://cravingaddis.com/ | https://cravingaddis.com/# | https://cravingaddis.com/#menu | https://cravingaddis.com/#our_story | https://cravingaddis.com/#whatnew | https://cravingaddis.com/#yourcravings | https://cravingaddis.com/?porto_builder=vacancy_1 | https://cravingaddis.com/dine-2/ | https://cravingaddis.com/grab/ | https://cravingaddis.com/news/ | https://cravingaddis.com/strawberry-waffles/ | https://cravingaddis.com/writer/zgadmin/ | https://www.facebook.com/cravingsethiopia/ | https://www.instagram.com/cravingsethiopia/ | https://www.linkedin.com/company/cravings-restaurant-and-bar/ | https://www.sunshineinvestmentgroup.net/ | https://zergaw.com,,2026-05-10T06:08:51.639036+00:00
Lomi Cafe & Restaurant,Restaurant,Addis Ababa,"Addis Ababa, Ethiopia",4.7,494.0,+251 96 055 5777,,,,2026-05-10T06:08:51.639036+00:00
Gangnam korean restaurant bole japan,Korean restaurant,Addis Ababa,"Rwanda St, Addis Ababa, Ethiopia",4.3,199.0,+251 93 911 7538,,,,2026-05-10T06:08:51.640050+00:00
Sapore Restaurant,Italian restaurant,Addis Ababa,"Zimbabwe St, Addis Ababa, Ethiopia",4.2,315.0,,,,,2026-05-10T06:08:51.640050+00:00
Dessalech Kitfo | Bole Millennium | ደሳለች ክትፎ | ቦሌ ሚሊየም,Restaurant,Addis Ababa,"XQPQ+XCV, Airport Rd, Addis Ababa, Ethiopia",4.0,134.0,+251 91 123 1859,,,,2026-05-10T06:08:51.640050+00:00
Dusk Restaurant,Restaurant,Addis Ababa,"Addis Ababa, Ethiopia",4.6,187.0,+251 96 623 0000,,,,2026-05-10T06:08:51.640050+00:00
Happiness Restaurant,American restaurant,Addis Ababa,"XQQR+WQV, Addis Ababa, Ethiopia",4.7,171.0,,,,,2026-05-10T06:08:51.640050+00:00
Radha's Indian Restaurant and Bar,"Restaurant, Bar",Addis Ababa,"Bole Japan, Addis Ababa, Ethiopia",4.7,150.0,+251 97 433 4455,,,,2026-05-10T06:08:51.640050+00:00
